4218	The course of evolution	Weller, J. Marvin1899-1976.(James Marvin),		McGraw-Hill		722	QH366 .W44
2616	Ghana's foreign policy, 1957-1966; diplomacy, ideology, and the new state,	Thompson, W. Scott1942-(Willard Scott),		Princeton University Press,		489	DT512 .T45
10644	Small town in mass society : class, power and religion in a rural community /	Vidich, Arthur J.,		Princeton University Press,		521	HT431 .V5 1968
4158	Jules Laforgue, essays on a poet's life and work /			Southern Illinois University Press ;		224	PQ2323.L8 Z873
2148	Spherical and practical astronomy : as applied to geodesy /	Mueller, Ivan Istvan,1930-		F. Ungar Pub. Co.,		645	QB145 .M8
5236	The affluent society /	Galbraith, John Kenneth,1908-2006,		Houghton Mifflin Company,		368	HC106.5 .G32 1969
1730	The power of Parliament /	Butt, Ronald.		Walker		502	JN675 1968 .B8
11259	Toynbee's Industrial revolution.	Toynbee, Arnold,1852-1883.		A.M. Kelley,		293	HC254.5 .T73 1969
5378	Critical incidents in management	Champion, John M.		R.D. Irwin,		243	HD31 .C455 1969
10180	Children's behavior /			Exposition Press		436	BF721 .B367
251	The tasks of childhood /	Muller, Philippe,1916-2001,		McGraw-Hill,		255	BF721 .M7913
10047	The idea of criticism /	Tsugawa, Albert Genyo,1927-		Pennsylvania State University,		157	BH39 .T75
6385	Religion and change,	Edwards, David L.1929-(David Lawrence),		Harper &amp; Row		383	BL48 .E35
5940	The foundations of belief /	Dewart, Leslie,		Herder and Herder,		526	BL51 .D417
4619	The universal word; a theology for a universal faith,	Ferré, Nels F. S.1908-1971.(Nels Frederick Solomon),		Westminster Press		282	BL51 .F494
8756	The house of Islam.	Cragg, Kenneth,1913-2012.		Dickenson Pub. Co.		117	BP161.2 .C72
3809	Environmental man /	Kuhns, William,		Harper &amp; Row,		156	BR115.C8 K8
1150	The politics of religious conflict : church and state in America /	Morgan, Richard E.,1937-		Pegasus		156	BR516 .M67
1146	Tradition for crisis : a study in Hosea /	Brueggemann, Walter.		John Knox Press,		164	BS1565.2 .B7
7106	The Bible and history /			Abingdon Press,		370	BS635.2 .B5 1969
4102	God and the world,	Cobb, John B.		Westminster Press		139	BT75.2 .C6
4537	Theology and the kingdom of God /	Pannenberg, Wolfhart,1928-2014.		Westminster Press,		143	BT94 .P33
4980	Theology and the church in the university,	Hartt, Julian Norris.		Westminster Press		204	BV1610 .H33
11394	The Intellectual legacy of Paul Tillich.			Wayne State University Press,		115	BX4827.T53 I5
1025	The meaning of archaeology /	Pallottino, Massimo,		Harry N. Abrams,		348	CC75 .P2713 1968
7740	The historian and the climate of opinion /			Addison-Wesley Pub. Co.		217	D13 .S56
5590	European fascism /			Random House,		387	D726.5 .E87 1969
1770	The Atlantic Community reappraised.			Academy of Political Science, Columbia University,		156	D848 .A85
4697	Hadrian's Wall; a study of the north-west frontier of Rome	Divine, David,1904-1987.		Gambit,		244	DA146 .D5
6000	The voices.	Wechsberg, Joseph,1907-1983,		Doubleday,		113	DB215.6 .W37
5178	The flame of freedom; the German struggle against Hitler.	Zeller, Eberhard.		University of Miami Press		471	DD256.3 .Z413 1969
